ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
66,Image/train/FORSTERS TERN/001.jpg,Bird,Forster's Tern,Laridae,Sterna forsteri,28-36 cm (11-14 inches),100-150 grams,Coastal areas,15 years,"Forster's Tern is a medium-sized tern known for its slender body and elegant flight. It breeds in marshes and coastal areas, feeding on small fish."
227,Image/train/FOX/001.jpg,Mammal,Fox,Canidae,Vulpes vulpes,45-90 cm (18-35 inches),3-24 kg,Forests,3-5 years,"Foxes are small to medium-sized mammals known for their cunning behavior and adaptability. They are found in various habitats and are skilled hunters."
67,Image/train/FOX SPARROW/001.jpg,Bird,Fox Sparrow,Passerellidae,Passerculus iliacus,15-18 cm (5.9-7 inches),25-35 grams,Woodlands,5-10 years,"The Fox Sparrow is a large, chunky sparrow with a distinctive rufous color and spotted breast. It is often found in brushy and wooded areas, foraging for seeds and insects."
68,Image/train/FRIGATEBIRD/001.jpg,Bird,Frigatebird,Fregatidae,Fregata magnificens,80-100 cm (31-39 inches),1.5-2.5 kg,Coastal areas,30-40 years,"Frigatebirds are large seabirds known for their impressive wingspan and aerial prowess. They are often seen soaring over oceans and are known to steal food from other birds."
69,Image/train/GADWALL/001.jpg,Bird,Gadwall,Anatidae,Mareca strepera,50-60 cm (20-24 inches),0.7-1.2 kg,Freshwater lakes,10-20 years,"The Gadwall is a medium-sized dabbling duck known for its subtle coloration and quiet behavior. It is commonly found in freshwater wetlands across North America."
70,Image/train/GECOCCYX/001.jpg,Bird,Greater Roadrunner,Cuculidae,Geococcyx californianus,50-61 cm (20-24 inches),0.5-0.9 kg,Deserts,7-8 years,"The Greater Roadrunner is a large, ground-dwelling cuckoo known for its speed and distinctive call. It is commonly found in arid regions of the southwestern United States."
71,Image/train/GLAUCOUS WINGED GULL/001.jpg,Bird,Glaucous-winged Gull,Laridae,Larus glaucescens,56-68 cm (22-27 inches),700-1600 grams,Coastal areas,15-20 years,"The Glaucous-winged Gull is a large gull with pale gray wings and a strong bill. It is commonly found along the Pacific coast of North America and is known for its scavenging behavior."
228,Image/train/GOAT/001.jpg,Mammal,Goat,Bovidae,Capra aegagrus hircus,76-106 cm (30-42 inches),45-135 kg,Mountains and grasslands,15-18 years,"Domestic goats are hardy, intelligent animals known for their climbing ability and curiosity. They are raised for their milk, meat, and fiber, and are commonly found in rural areas."
72,Image/train/GOLDEN WINGED WARBLER/001.jpg,Bird,Golden-winged Warbler,Parulidae,Vermivora chrysoptera,11-12 cm (4.3-4.7 inches),10-12 grams,Brushy areas,3-6 years,"The Golden-winged Warbler is a small, migratory songbird known for its striking yellow and black plumage. It breeds in North America and is often found in shrubby habitats."
229,Image/train/GOLDFISH/001.jpg,Fish,Goldfish,Cyprinidae,Carassius auratus,5-20 cm (2-8 inches),50-300 grams,Freshwater,10-15 years,"Goldfish are small, domesticated fish known for their bright orange color and variety of shapes. They are commonly kept as pets in aquariums."
230,Image/train/GOOSE/001.jpg,Bird,Goose,Anatidae,Anser,75-110 cm (30-43 inches),2-6 kg,Freshwater lakes and fields,10-25 years,"Geese are large waterfowl known for their strong bodies and long necks. They are often found in flocks and are known for their migratory behavior."
231,Image/train/GORILLA/001.jpg,Mammal,Gorilla,Hominidae,Gorilla gorilla,1.4-1.8 meters (4.5-6 feet),100-270 kg,Tropical forests,35-40 years,"Gorillas are large primates known for their strength and social behavior. They live in groups called troops and are primarily herbivorous."
232,Image/train/GRASSHOPPER/001.jpg,Insect,Grasshopper,Acrididae,1-15 cm,2-80 grams,Grasslands,1-3 years,"Grasshoppers are insects known for their long hind legs, which allow them to jump great distances. They are herbivorous and commonly found in grasslands."
73,Image/train/GRASSHOPPER SPARROW/001.jpg,Bird,Grasshopper Sparrow,Ammodramidae,Ammodramus savannarum,10-12 cm (3.9-4.7 inches),15-20 grams,Grasslands,5-8 years,"The Grasshopper Sparrow is a small, secretive songbird known for its grasshopper-like call. It inhabits open grasslands and fields across North America."
74,Image/train/GRAY CATBIRD/001.jpg,Bird,Gray Catbird,Mimidae,Dumetella carolinensis,23-25 cm (9-10 inches),30-50 grams,Thickets and gardens,5-10 years,"The Gray Catbird is a medium-sized songbird known for its slate-gray plumage and cat-like call. It is commonly found in gardens and shrubby areas."
76,Image/train/GRAY CROWNED ROSY FINCH/001.jpg,Bird,Gray-crowned Rosy-Finch,Fringillidae,Leucosticte tephrocotis,15-17 cm (5.9-6.7 inches),15-25 grams,Mountains,3-5 years,"The Gray-crowned Rosy-Finch is a small bird found in mountainous regions of North America. It is known for its rosy underparts and is often seen in flocks."
75,Image/train/GRAY KINGBIRD/001.jpg,Bird,Gray Kingbird,Tyrannidae,Tyrannus dominicensis,23-25 cm (9-10 inches),50-65 grams,Coastal areas,3-6 years,"The Gray Kingbird is a medium-sized flycatcher known for its aggressive behavior and distinctive gray plumage. It breeds in coastal regions and is often seen perched on wires."
77,Image/train/GREAT CRESTED FLYCATCHER/001.jpg,Bird,Great Crested Flycatcher,Tyrannidae,Myiarchus crinitus,23-25 cm (9-10 inches),40-50 grams,Woodlands,5-10 years,"The Great Crested Flycatcher is a large flycatcher known for its loud, distinctive call. It is commonly found in open woodlands and is known for its predatory behavior."
78,Image/train/GREAT GREY SHRIKE/001.jpg,Bird,Great Grey Shrike,Laniidae,Lanius excubitor,25-28 cm (9.8-11 inches),60-90 grams,Open fields,10-15 years,"The Great Grey Shrike is a medium-sized bird of prey known for its predatory behavior. It is often seen perched on high vantage points, hunting for small mammals and birds."
79,Image/train/GREEN JAY/001.jpg,Bird,Green Jay,Corvidae,Cyanocorax yncas,25-30 cm (9.8-11.8 inches),70-100 grams,Tropical forests,5-10 years,"The Green Jay is a colorful bird known for its striking green and yellow plumage. It is commonly found in the subtropical regions of the Americas."
80,Image/train/GREEN KINGFISHER/001.jpg,Bird,Green Kingfisher,Alcedinidae,Chloroceryle americana,15-20 cm (6-8 inches),30-60 grams,Freshwater rivers,6-10 years,"The Green Kingfisher is a small, strikingly colored bird known for its fishing skills. It is commonly found along rivers and streams in Central and South America."
82,Image/train/GREEN TAILED TOWHEE/001.jpg,Bird,Green-tailed Towhee,Passerellidae,Pipilo chlorurus,15-17 cm (5.9-6.7 inches),25-35 grams,Shrubby areas,5-8 years,"The Green-tailed Towhee is a small sparrow-like bird known for its distinctive green tail. It is often found in shrubby habitats in western North America."
81,Image/train/GREEN VIOLETEAR/001.jpg,Bird,Green Violetear,Trochilidae,Colibri thalassinus,10-12 cm (4-4.7 inches),3-4 grams,Tropical gardens,5-10 years,"The Green Violetear is a medium-sized hummingbird known for its iridescent green feathers. It is commonly found in tropical regions and is known for its hovering flight."
83,Image/train/GROOVE BILLED ANI/001.jpg,Bird,Grove-billed Ani,Cuculidae,Crotophaga sulcirostris,28-30 cm (11-12 inches),70-100 grams,Grasslands,5-7 years,"The Groove-billed Ani is a large cuckoo known for its distinctive bill and social behavior. It is commonly found in open grasslands and wetlands in Central America."
233,Image/train/HAMSTER/001.jpg,Mammal,Hamster,Cricetidae,Mesocricetus auratus,10-18 cm (4-7 inches),100-200 grams,Domestic environments,2-3 years,"Hamsters are small rodents often kept as pets. They are known for their cheek pouches, which they use to store food, and their nocturnal habits."
234,Image/train/ hare/001.jpg,Mammal,Hare,Leporidae,Lepus,40-70 cm (15.7-27.6 inches),2-4 kg,Grasslands,3-12 years,"Hares are fast-running mammals known for their long ears and strong hind legs. They are often found in open fields and grasslands."
84,Image/train/HARRIS SPARROW/001.jpg,Bird,Harris Sparrow,Passerellidae,Zonotrichia querula,15-17 cm (5.9-6.7 inches),30-40 grams,Grasslands,5-7 years,"The Harris Sparrow is a medium-sized songbird known for its striking black and white plumage during the breeding season. It breeds in the northern parts of North America."
235,Image/train/HEDGEHOG/001.jpg,Mammal,Hedgehog Erinaceidae,Erinaceus europaeus,20-30 cm (7.9-11.8 inches),0.5-1.5 kg,Gardens and forests,3-7 years,"Hedgehogs are small, spiny mammals known for their ability to roll into a ball for protection. They are nocturnal and feed on insects and plants."
85,Image/train/HEERMANN GULL/001.jpg,Bird,Heermann's Gull,Laridae,Larus heermanni,45-55 cm (18-22 inches),500-800 grams,Coastal areas,10-15 years,"Heermann's Gull is a medium-sized gull known for its striking dark gray plumage and red bill. It is commonly found along the Pacific coast of North America."
86,Image/train/HENSLOW SPARROW/001.jpg,Bird,Henslow's Sparrow,Ammodramidae,Centronyx henslowii,11-13 cm (4.3-5.1 inches),10-15 grams,Grasslands,3-7 years,"Henslow's Sparrow is a small, secretive songbird known for its distinctive call. It is primarily found in tall grasslands and is known for its elusive behavior."
87,Image/train/HERRING GULL/001.jpg,Bird,Herring Gull,Laridae,Larus argentatus,50-70 cm (20-28 inches),1-2 kg,Coastal areas,10-20 years,"Herring Gulls are large, common gulls known for their scavenging behavior. They are often found along coastlines and are recognizable by their gray and white plumage."
236,Image/train/HIPPOPOTAMUS/001.jpg,Mammal,Hippopotamus,Hippopotamidae,Hippopotamus amphibius,2.5-4 meters (8-13 feet),1500-3200 kg,Freshwater rivers,40-50 years,"Hippopotamuses are large, mostly herbivorous mammals known for their massive size and semi-aquatic lifestyle. They spend much of their time submerged in water to keep cool."
88,Image/train/HOODED MERGANSER/001.jpg,Bird,Hooded Merganser,Anatidae,Lophodytes cucullatus,35-50 cm (14-20 inches),0.5-1 kg,Freshwater lakes,10-15 years,"Hooded Mergansers are small diving ducks known for their striking crests and unique plumage. They are commonly found in freshwater habitats across North America."
89,Image/train/HOODED ORIOLE/001.jpg,Bird,Hooded Oriole,Icteridae,Icterus cucullatus,25-28 cm (9.8-11 inches),30-50 grams,Open woodlands,5-7 years,"The Hooded Oriole is a colorful songbird known for its bright yellow and black plumage. It is commonly found in southwestern U.S. and Mexico, often nesting in palm trees."
90,Image/train/HOODED WARBLER/001.jpg,Bird,Hooded Warbler,Parulidae,Sylvia citrina,11-13 cm (4.3-5.1 inches),10-12 grams,Wooded areas,4-6 years,"The Hooded Warbler is a small songbird known for its striking yellow and black coloration. It breeds in deciduous forests and is known for its sweet song."
237,Image/train/HORN BILL/001.jpg,Bird,Hornbill,Bucerotidae,Buceros,50-100 cm (20-39 inches),1-3 kg,Tropical forests,30-40 years,"Hornbills are large birds known for their distinctive bills and unique nesting behavior. They are often found in tropical and subtropical forests."
91,Image/train/HORNED GREBE/001.jpg,Bird,Horned Grebe,Podicipedidae,Podiceps auritus,30-38 cm (12-15 inches),500-800 grams,Freshwater lakes,15-20 years,"The Horned Grebe is a small, aquatic bird known for its striking plumage during the breeding season. It is often found in freshwater lakes and ponds."
92,Image/train/HORNED LARK/001.jpg,Bird,Horned Lark,Alaudidae,Eremophila alpestris,15-20 cm (5.9-7.9 inches),30-40 grams,Open fields,5-10 years,"The Horned Lark is a small, ground-dwelling songbird known for its distinctive horns and melodious song. It is commonly found in open fields and grasslands."
93,Image/train/HORNED PUFFIN/001.jpg,Bird,Horned Puffin,Alcidae,Fratercula corniculata,30-40 cm (12-16 inches),400-500 grams,Coastal areas,20-30 years,"The Horned Puffin is a small seabird known for its colorful beak and striking appearance. It breeds in coastal regions and is often seen nesting in cliffs."
238,Image/train/HORSE/001.jpg,Mammal,Horse,Equidae,Equus ferus caballus,1.4-1.8 meters (4.6-5.9 feet),400-1000 kg,Grasslands,25-30 years,"Horses are large mammals known for their strength and speed. They have been domesticated for riding, work, and companionship for thousands of years."
94,Image/train/HOUSE SPARRROW/001.jpg,Bird,House Sparrow,Passeridae,Passer domesticus,14-16 cm (5.5-6.3 inches),24-39 grams,Urban areas,3-5 years,"The House Sparrow is a small bird commonly found in urban areas. It is known for its adaptability and close association with humans."
95,Image/train/HOUSE WREN/001.jpg,Bird,House Wren,Troglodytidae,Troglodytes aedon,10-12 cm (3.9-4.7 inches),10-12 grams,Woodlands,3-6 years,"The House Wren is a small, energetic songbird known for its distinctive song. It is often found in gardens and wooded areas."
239,Image/train/HUMMINGBIRD/001.jpg,Bird,Hummingbird,Trochilidae,Archilochus,7.5-13 cm (3-5 inches),3-4 grams,Tropical and temperate regions,3-5 years,"Hummingbirds are small, colorful birds known for their ability to hover and rapid wing beats. They are important pollinators in many ecosystems."
240,Image/train/HYENA/001.jpg,Mammal,Hyena,Family Hyaenidae,Crocuta crocuta,80-95 cm (31-37 inches),40-90 kg,Savannas and grasslands,10-25 years,"Hyenas are carnivorous mammals known for their scavenging behavior and social structure. They are often found in packs and are known for their distinctive vocalizations."
96,Image/train/INDIGO BUNTING/001.jpg,Bird,Indigo Bunting,Cardinalidae,Passerina cyanea,12-14 cm (4.7-5.5 inches),10-15 grams,Open woodlands,3-5 years,"The Indigo Bunting is a small songbird known for its vibrant blue plumage. It is commonly found in open woodlands and fields across North America."
97,Image/train/IVORY GULL/001.jpg,Bird,Ivory Gull,Laridae,Pagophila eburnea,40-48 cm (15-19 inches),400-600 grams,Arctic regions,15-20 years,"The Ivory Gull is a small white gull found in Arctic regions. It is known for its striking plumage and is often seen near pack ice."
241,Image/train/JELLYFISH/001.jpg,Invertebrate,Jellyfish,Cnidaria,Aurelia aurita,10-40 cm (4-16 inches),1-100 kg,Oceans,1-3 years,"Jellyfish are soft-bodied marine animals known for their gelatinous bodies and tentacles. They are found in oceans worldwide and can be both beautiful and dangerous."
242,Image/train/KANGAROO/001.jpg,Mammal,Kangaroo,Macropodidae,Macropus,1-2 meters (3.3-6.6 feet),18-100 kg,Grasslands and forests,8-12 years,"Kangaroos are large marsupials known for their powerful hind legs and unique hopping movement. They are native to Australia and are known for their social behavior."
98,Image/train/KENTUCKY WARBLER/001.jpg,Bird,Kentucky Warbler,Parulidae,Oporornis formosus,13-15 cm (5.1-5.9 inches),10-15 grams,Wooded areas,4-6 years,"The Kentucky Warbler is a small songbird known for its bright yellow underparts and distinctive song. It is commonly found in dense undergrowth of woodlands."
243,Image/train/KOALA/001.jpg,Mammal,Koala,Phascolarctidae,Phascolarctos cinereus,60-85 cm (24-33 inches),8-14 kg,Eucalyptus forests,10-18 years,"Koalas are marsupials known for their cuddly appearance and dependence on eucalyptus trees. They are native to Australia and are primarily herbivorous."
244,Image/train/LADYBUGS/001.jpg,Insect,Ladybugs,Coccinellidae,Coccinella septempunctata,4-8 mm (0.15-0.31 inches),0.5-1 gram,Gardens and fields,1-3 years,"Ladybugs are small, beneficial insects known for their spotted red or orange bodies. They are voracious predators of aphids and other garden pests."
99,Image/train/LAYSAN ALBATROSS/001.jpg,Bird,Laysan Albatross,Diomedeidae,Diomedea immutabilis,81-110 cm (32-43 inches),2.4-4 kg,Oceans,50 years,"The Laysan Albatross is a large seabird known for its impressive wingspan and long-distance flying ability. It primarily feeds on fish and squid."
100,Image/train/LAZULI BUNTING/001.jpg,Bird,Lazuli Bunting,Cardinalidae,Passerina amoena,12-14 cm (4.7-5.5 inches),10-15 grams,Open woodlands,3-5 years,"The Lazuli Bunting is a small songbird known for its striking blue plumage and sweet song. It is commonly found in open areas and brushy habitats."
102,Image/train/LEAST AUKLET/001.jpg,Bird,Least Auklet,Alcidae,Aethia pusilla,15-18 cm (5.9-7.1 inches),30-40 grams,Coastal areas,5-10 years,"The Least Auklet is a small seabird known for its small size and distinctive breeding plumage. It breeds in Arctic regions and is often seen in large colonies."
103,Image/train/LEAST FLYCATCHER/001.jpg,Bird,Least Flycatcher,Tyrannidae,Empidonax minimus,12-13 cm (4.7-5.1 inches),9-12 grams,Woodlands,5-10 years,"The Least Flycatcher is a small songbird known for its distinctive call and small size. It is commonly found in open woodlands and is often hard to spot."
104,Image/train/LEAST TERN/001.jpg,Bird,Least Tern,Sternidae,Sternula antillarum,20-25 cm (7.9-9.8 inches),40-70 grams,Coastal areas,5-10 years,"The Least Tern is a small seabird known for its slender body and distinctive breeding plumage. It is commonly found along coastlines and riverbanks."
245,Image/train/LEOPARD/001.jpg,Mammal,Leopard,Felidae,Panthera pardus,90-190 cm (35-75 inches),30-90 kg,Grasslands and forests,10-15 years,"Leopards are large carnivorous mammals known for their spotted coats and adaptability. They are skilled hunters and are found in a variety of habitats across Africa and Asia."
101,Image/train/LE CONTE SPARROW/001.jpg,Bird,Le Conte's Sparrow,Emberizidae,Passerculus lecontii,12-14 cm (4.7-5.5 inches),15-20 grams,Grasslands,3-5 years,"Le Conte's Sparrow is a small, elusive songbird known for its distinctive call and preference for wet, grassy habitats."
105,Image/train/LINCOLN SPARROW/001.jpg,Bird,Lincoln's Sparrow,Emberizidae,Melospiza lincolnii,14-16 cm (5.5-6.3 inches),20-30 grams,Wetlands,3-5 years,"Lincoln's Sparrow is a small, secretive bird found in shrubby wetlands. It has a distinctive streaked appearance and is known for its sweet song."
246,Image/train/LION/001.jpg,Mammal,Lion,Felidae,Panthera leo,1.5-2.5 meters (4.9-8.2 feet),120-250 kg,Savannas and grasslands,10-14 years,"Lions are large, social cats known for their strength and pride structure. They are found in African savannas and are famous for their majestic manes."
247,Image/train/LIZARD/001.jpg,Reptile,Lizard,Varied,Lacertilia,5-100 cm (2-39 inches),10-1500 grams,Varied habitats,1-50 years,"Lizards are a diverse group of reptiles known for their scaly skin and ability to adapt to various environments."
248,Image/train/LOBSTER/001.jpg,Crustacean,Lobster,Nephropidae,Homarus,25-60 cm (10-24 inches),1-5 kg,Oceans,50 years,"Lobsters are large marine crustaceans known for their culinary value and distinctive claws. They are found on the ocean floor and are an important seafood."
106,Image/train/LOGGERHEAD SHRIKE/001.jpg,Bird,Loggerhead Shrike,Laniidae,Lanius ludovicianus,20-25 cm (7.9-9.8 inches),50-70 grams,Open areas,6-12 years,"The Loggerhead Shrike is a small predatory bird known for its striking appearance and habit of impaling prey on thorns."
107,Image/train/LONG TAILED JAEGER/001.jpg,Bird,Long-tailed Jaeger,Stercorariidae,Stercorarius longicaudus,40-50 cm (15-20 inches),300-500 grams,Coastal areas,10-20 years,"The Long-tailed Jaeger is a medium-sized seabird known for its long tail and aggressive behavior. It is often found in Arctic regions during the breeding season."
108,Image/train/LOUISIANA WATERTHRUSH/001.jpg,Bird,Louisiana Waterthrush,Parulidae,Parkesia motacilla,15-17 cm (5.9-6.7 inches),20-25 grams,Wetlands,5-10 years,"The Louisiana Waterthrush is a small songbird known for its distinctive song and preference for wet, wooded areas."
109,Image/train/MAGNOLIA WARBLER/001.jpg,Bird,Magnolia Warbler,Parulidae,Setophaga magnolia,12-14 cm (4.7-5.5 inches),9-12 grams,Deciduous forests,3-5 years,"The Magnolia Warbler is a small songbird known for its striking yellow and black plumage. It is commonly found in northern forests during migration."
110,Image/train/MALLARD/001.jpg,Bird,Mallard,Anatidae,Anas platyrhynchos,50-65 cm (20-26 inches),0.9-1.5 kg,Freshwater lakes,5-10 years,"Mallards are common waterfowl known for their distinctive green heads and adaptability to various habitats. They are often found in ponds and rivers."
111,Image/train/MANGROVE CUCKOO/001.jpg,Bird,Mangrove Cuckoo,Cuculidae,Coccyzus minor,25-30 cm (9.8-11.8 inches),70-100 grams,Mangrove forests,3-5 years,"The Mangrove Cuckoo is a medium-sized bird known for its elusive nature and preference for mangrove habitats."
112,Image/train/MARSH WREN/001.jpg,Bird,Marsh Wren,Troglodytidae,Cistothorus palustris,11-13 cm (4.3-5.1 inches),10-12 grams,Wetlands,3-5 years,"The Marsh Wren is a small, energetic bird known for its distinctive call and preference for dense marsh vegetation."
113,Image/train/MOCKINGBIRD/001.jpg,Bird,Mockingbird,Mimidae,Mimus polyglottos,20-25 cm (7.9-9.8 inches),30-50 grams,Urban areas,3-5 years,"The Mockingbird is a well-known songbird famous for its ability to mimic other birds and sounds. It is often found in gardens and urban areas."
249,Image/train/MOSQUITO/001.jpg,Insect,Mosquito,Culicidae,Aedes,5-10 mm (0.2-0.4 inches),0.5-2.5 mg,Varied habitats,1-2 months,"Mosquitoes are small flying insects known for their biting behavior. They are often found near standing water and are vectors for various diseases."
250,Image/train/MOTH/001.jpg,Insect,Moth,Noctuidae,Noctua,2-10 cm (0.8-3.9 inches),1-500 grams,Varied habitats,1-2 years,"Moths are winged insects closely related to butterflies. They are mostly nocturnal and are known for their diverse species and behaviors."
114,Image/train/MOURNING WARBLER/001.jpg,Bird,Mourning Warbler,Parulidae,Oporornis Philadelphia,11-13 cm (4.3-5.1 inches),10-15 grams,Wooded areas,4-6 years,"The Mourning Warbler is a small songbird known for its distinct call and preference for dense undergrowth."
251,Image/train/MOUSE/001.jpg,Mammal,Mouse,Muroidae,5-10 cm (2-4 inches),10-30 grams,Varied habitats,1-3 years,"Mice are small rodents known for their adaptability and ability to thrive in various environments. They are often considered pests but play important ecological roles."
115,Image/train/MYRTLE WARBLER/001.jpg,Bird,Myrtle Warbler,Parulidae,Setophaga coronata,12-14 cm (4.7-5.5 inches),10-15 grams,Deciduous forests,3-5 years,"The Myrtle Warbler is a small songbird known for its striking yellow and black plumage. It is commonly found in northern forests during migration."
116,Image/train/NASHVILLE WARBLER/001.jpg,Bird,Nashville Warbler,Parulidae,Oreothlypis ruficapilla,11-13 cm (4.3-5.1 inches),10-12 grams,Wooded areas,4-6 years,"The Nashville Warbler is a small songbird known for its distinctive yellow underparts and preference for brushy habitats."
117,Image/train/NELSON SHARP TAILED SPARROW/001.jpg,Bird,Nelson's Sharp-tailed Sparrow,Emberizidae,Amphispiza nelsoni,12-15 cm (4.7-5.9 inches),15-20 grams,Marshes,3-5 years,"Nelson's Sharp-tailed Sparrow is a small, secretive bird found in marshy habitats. It has a distinctive call and preference for dense vegetation."
118,Image/train/NIGHTHAWK/001.jpg,Bird,Nighthawk,Nightjars,Chordeiles minor,22-25 cm (8.7-9.8 inches),50-100 grams,Open areas,5-10 years,"The Nighthawk is a medium-sized nocturnal bird known for its distinctive calls and feeding habits. It is often seen flying at dusk and dawn."
119,Image/train/NORTHERN FLICKER/001.jpg,Bird,Northern Flicker,Picidae,Colaptes auratus,30-35 cm (11.8-13.8 inches),90-150 grams,Woodlands,8-12 years,"The Northern Flicker is a large woodpecker known for its distinctive markings and ground-feeding behavior. It is commonly found in open woods and urban areas."
120,Image/train/NORTHERN FULMAR/001.jpg,Bird,Northern Fulmar,Procellariidae,Fulmarus glacialis,40-50 cm (15-20 inches),600-1000 grams,Oceans,30-50 years,"The Northern Fulmar is a medium-sized seabird known for its tube-like nostrils and strong flying abilities. It is often found in cold ocean waters."
121,Image/train/NORTHERN WATERTHRUSH/001.jpg,Bird,Northern Waterthrush,Parulidae,Parkesia noveboracensis,14-16 cm (5.5-6.3 inches),20-25 grams,Wetlands,4-6 years,"The Northern Waterthrush is a small songbird known for its distinctive song and preference for wet habitats."
252,Image/train/OCTOPUS/001.jpg,Mollusk,Octopus,Octopodidae,Octopus vulgaris,30-90 cm (11.8-35.4 inches),1-10 kg,Oceans,3-5 years,"Octopuses are highly intelligent marine animals known for their problem-solving abilities and camouflage skills. They have eight arms and are found in oceans worldwide."
253,Image/train/OKAPI/001.jpg,Mammal,Okapi,Giraffidae,Okapia johnstoni,1.5-2 meters (4.9-6.6 feet),200-350 kg,Rainforests,20-30 years,"Okapis are large mammals closely related to giraffes. They are known for their striking stripes and secretive nature, found in the rainforests of Central Africa."
122,Image/train/OLIVE SIDED FLYCATCHER/001.jpg,Bird,Olive-sided Flycatcher,Tyrannidae,Contopus cooperi,18-20 cm (7.1-7.9 inches),25-30 grams,Wooded areas,5-10 years,"The Olive-sided Flycatcher is a medium-sized songbird known for its distinctive call and preference for open woodlands."
123,Image/train/ORANGE CROWNED WARBLER/001.jpg,Bird,Orange-crowned Warbler,Parulidae,Leiothlypis celata,11-13 cm (4.3-5.1 inches),10-15 grams,Open areas,3-5 years,"The Orange-crowned Warbler is a small songbird known for its subtle coloring and distinctive song. It is commonly found in shrubby areas."
254,Image/train/ORANGUTAN/001.jpg,Mammal,Orangutan,Hominidae,Pongo,1.2-1.5 meters (3.9-4.9 feet),50-100 kg,Rainforests,30-40 years,"Orangutans are large primates known for their intelligence and arboreal lifestyle. They are native to the rainforests of Borneo and Sumatra."
124,Image/train/ORCHARD ORIOLE/001.jpg,Bird,Orchard Oriole,Icteridae,Icterus spurius,18-20 cm (7.1-7.9 inches),30-40 grams,Open woodlands,4-6 years,"The Orchard Oriole is a small songbird known for its bright coloration and preference for open, shrubby habitats."
255,Image/train/OTTER/001.jpg,Mammal,Otter,Mustelidae,Lutra,60-90 cm (23.6-35.4 inches),5-30 kg,Freshwater rivers,10-15 years,"Otters are playful aquatic mammals known for their agility in water. They are often found in rivers and lakes and are known for their social behavior."
125,Image/train/OVENBIRD/001.jpg,Bird,Ovenbird,Parulidae,Seiurus aurocapilla,14-16 cm (5.5-6.3 inches),20-25 grams,Wooded areas,5-10 years,"The Ovenbird is a small songbird known for its distinctive song and preference for forested habitats."
256,Image/train/OWL/001.jpg,Bird,owl,Strigiformes,Strix,30-60 cm (11.8-23.6 inches),300-4000 grams,Wooded areas,10-30 years,"Owls are nocturnal birds of prey known for their silent flight and distinctive calls. They are found in various habitats worldwide."
257,Image/train/OX/001.jpg,Mammal,Ox,Bovidae,Bos taurus,1.5-2 meters (4.9-6.6 feet),500-1000 kg,Grasslands,15-20 years,"Oxen are large domesticated mammals used for plowing and transport. They are known for their strength and adaptability."
258,Image/train/OYSTER/001.jpg,Mollusk,Oyster,Ostreidae,Crassostrea,10-20 cm (3.9-7.9 inches),1-2 kg,Coastal areas,10-20 years,"Oysters are bivalve mollusks known for their ability to produce pearls. They are often found in coastal waters and are a popular seafood."
126,Image/train/PACIFIC LOON/001.jpg,Bird,Pacific Loon,Gaviidae,Gavia pacifica,65-75 cm (25.6-29.5 inches),2-5 kg,Lakes and coastal areas,20-30 years,"The Pacific Loon is a medium-sized aquatic bird known for its striking plumage and excellent diving abilities. It breeds in northern freshwater lakes."
127,Image/train/PAINTED BUNTING/001.jpg,Bird,Painted Bunting,Cardinalidae,Passerina ciris,12-14 cm (4.7-5.5 inches),10-15 grams,Open woodlands,3-5 years,"The Painted Bunting is a small songbird known for its bright and colorful plumage. It is often found in brushy habitats and is a favorite among birdwatchers."
128,Image/train/PALM WARBLER/001.jpg,Bird,Palm Warbler,Parulidae,Setophaga palmarum,12-14 cm (4.7-5.5 inches),10-15 grams,Open woodlands,3-5 years,"The Palm Warbler is a small songbird known for its distinctive tail movements and preference for open, shrubby habitats."
259,Image/train/PANDA/001.jpg,Mammal,Panda,Ursidae,Ailuropoda melanoleuca,1.2-1.8 meters (3.9-5.9 feet),70-160 kg,Rainforests,20 years,"Pandas are large bears known for their distinctive black and white coloring and diet primarily consisting of bamboo. They are native to China."
129,Image/train/PARAKEET AUKLET/001.jpg,Bird,Parakeet Auklet,Alcidae,Aethia psittacula,25-30 cm (9.8-11.8 inches),200-300 grams,Coastal areas,5-10 years,"The Parakeet Auklet is a small seabird known for its colorful bill and social behavior. It breeds in Arctic regions and is often seen in large colonies."
260,Image/train/PARROT/001.jpg,Bird,Parrot,Psittacidae,Psittacus,30-100 cm (11.8-39.4 inches),100-1000 grams,Tropical forests,20-80 years,"Parrots are colorful birds known for their intelligence and ability to mimic sounds. They are often found in tropical and subtropical regions."
130,Image/train/PELAGIC CORMORANT/001.jpg,Bird,Pelagic Cormorant,Phalacrocoracidae,Phalacrocorax pelagicus,66-78 cm (26-31 inches),1-2.5 kg,Coastal areas,10-15 years,"The Pelagic Cormorant is a medium-sized seabird known for its diving abilities and preference for coastal habitats."
261,Image/train/PELECANIFORMES/001.jpg,Bird,Pelecaniformes,Pelecanidae,Pelecanus,120-180 cm (47-71 inches),5-15 kg,Lakes and coastal areas,20-30 years,"Pelecaniformes are a diverse group of large aquatic birds known for their long necks and large bills. They are often found near water."
262,Image/train/PENGUIN/001.jpg,Bird,Penguin,Spheniscidae,Spheniscidae,60-120 cm (23.6-47.2 inches),25-40 kg,Antarctic regions,15-20 years,"Penguins are flightless birds known for their distinctive waddling gait and ability to swim. They are found in the Southern Hemisphere."
